coicop,date,variable,values
Inflation globale,2016-04-01,Inflation sur 3 ans,0.004679444235641024
Inflation globale,2016-05-01,Inflation sur 1 an,0.00525545510350845
Inflation globale,2016-05-01,Inflation sur 3 ans,0.004726802749211646
Inflation globale,2016-06-01,Inflation sur 1 an,0.005302021851485455
Inflation globale,2016-06-01,Inflation sur 3 ans,0.004167688622396675
Inflation globale,2016-07-01,Inflation sur 1 an,0.00553318091691459
Inflation globale,2016-07-01,Inflation sur 3 ans,0.004429605392578491
Inflation globale,2016-08-01,Inflation sur 1 an,0.004715798760347192
Inflation globale,2016-08-01,Inflation sur 3 ans,0.004227249236184378
Inflation globale,2016-09-01,Inflation sur 1 an,0.004201399333960833
Inflation globale,2016-09-01,Inflation sur 3 ans,0.004415511174328484
Inflation globale,2016-10-01,Inflation sur 1 an,0.00460892656657086
Inflation globale,2016-10-01,Inflation sur 3 ans,0.004288524574296204
Inflation globale,2016-11-01,Inflation sur 1 an,0.004152957334452303
Inflation globale,2016-11-01,Inflation sur 3 ans,0.0032706024371145594
Inflation globale,2016-12-01,Inflation sur 1 an,0.005312455547195004
Inflation globale,2016-12-01,Inflation sur 3 ans,0.003288598760816016
Inflation globale,2017-01-01,Inflation sur 1 an,0.0063573869034276404
Inflation globale,2017-01-01,Inflation sur 3 ans,0.00313084271316348
Inflation globale,2017-02-01,Inflation sur 1 an,0.006079034631565379
Inflation globale,2017-02-01,Inflation sur 3 ans,0.002852109666244152
Inflation globale,2017-03-01,Inflation sur 1 an,0.004345923998027739
Inflation globale,2017-03-01,Inflation sur 3 ans,0.0031763876879416396
Inflation globale,2017-04-01,Inflation sur 1 an,0.004724899474066744
Inflation globale,2017-04-01,Inflation sur 3 ans,0.0036703932958404187
Inflation globale,2017-05-01,Inflation sur 1 an,0.00458460481882217
Inflation globale,2017-05-01,Inflation sur 3 ans,0.003632552773026441
Inflation globale,2017-06-01,Inflation sur 1 an,0.004833766915191113
Inflation globale,2017-06-01,Inflation sur 3 ans,0.00360553794262818
Inflation globale,2017-07-01,Inflation sur 1 an,0.004976106803866195
Inflation globale,2017-07-01,Inflation sur 3 ans,0.003930174035418931
Inflation globale,2017-08-01,Inflation sur 1 an,0.005040566155730678
Inflation globale,2017-08-01,Inflation sur 3 ans,0.0036870666270328967
Inflation globale,2017-09-01,Inflation sur 1 an,0.004951387362272824
Inflation globale,2017-09-01,Inflation sur 3 ans,0.003985714884304468
Inflation globale,2017-10-01,Inflation sur 1 an,0.004352539078477189
Inflation globale,2017-10-01,Inflation sur 3 ans,0.003975009816959547
Inflation globale,2017-11-01,Inflation sur 1 an,0.004385325222587322
Inflation globale,2017-11-01,Inflation sur 3 ans,0.0033338523390817458
Inflation globale,2017-12-01,Inflation sur 1 an,0.004045392872672517
Inflation globale,2017-12-01,Inflation sur 3 ans,0.003510622815627514
Inflation globale,2018-01-01,Inflation sur 1 an,0.0044092136652146815
Inflation globale,2018-01-01,Inflation sur 3 ans,0.0034333492307658717
Inflation globale,2018-02-01,Inflation sur 1 an,0.004154744718501419
Inflation globale,2018-02-01,Inflation sur 3 ans,0.003383030296732474
Inflation globale,2018-03-01,Inflation sur 1 an,0.004453377893484791
Inflation globale,2018-03-01,Inflation sur 3 ans,0.0032290820621775546
Inflation globale,2018-04-01,Inflation sur 1 an,0.005216493987558349
Inflation globale,2018-04-01,Inflation sur 3 ans,0.0030747654872144855
Inflation globale,2018-05-01,Inflation sur 1 an,0.0059728744459189055
Inflation globale,2018-05-01,Inflation sur 3 ans,0.0030937568268057745
Inflation globale,2018-06-01,Inflation sur 1 an,0.004464345250737003
Inflation globale,2018-06-01,Inflation sur 3 ans,0.0032291420224148633
Inflation globale,2018-07-01,Inflation sur 1 an,0.003837015865206009
Inflation globale,2018-07-01,Inflation sur 3 ans,0.003179673513389492
Inflation globale,2018-08-01,Inflation sur 1 an,0.004396414522504358
Inflation globale,2018-08-01,Inflation sur 3 ans,0.003235290870727942
Inflation globale,2018-09-01,Inflation sur 1 an,0.004465404015147573
Inflation globale,2018-09-01,Inflation sur 3 ans,0.003614440515262214
