coicop,date,weighted_yes_no,values
Inflation sous-jacente,2018-01-01,Écart-type non-pondéré,0.00712002365460293
Inflation globale,2018-01-01,Écart-type non-pondéré,0.011271295633739624
Inflation sous-jacente,2018-01-01,Écart-type pondéré,0.003476119314005377
Inflation globale,2018-01-01,Écart-type pondéré,0.004483812104225771
Inflation sous-jacente,2017-12-01,Écart-type non-pondéré,0.006382541978339286
Inflation globale,2017-12-01,Écart-type non-pondéré,0.009955691310686778
Inflation sous-jacente,2017-12-01,Écart-type pondéré,0.004249842922081046
Inflation globale,2017-12-01,Écart-type pondéré,0.0040892729007069775
Inflation sous-jacente,2017-11-01,Écart-type non-pondéré,0.007096885899722795
Inflation globale,2017-11-01,Écart-type non-pondéré,0.010569444540501495
Inflation sous-jacente,2017-11-01,Écart-type pondéré,0.0046405129293373764
Inflation globale,2017-11-01,Écart-type pondéré,0.004431949660385618
Inflation sous-jacente,2017-10-01,Écart-type non-pondéré,0.007680974444759768
Inflation globale,2017-10-01,Écart-type non-pondéré,0.010313379149128776
Inflation sous-jacente,2017-10-01,Écart-type pondéré,0.004841757057247028
Inflation globale,2017-10-01,Écart-type pondéré,0.004308213186561322
Inflation sous-jacente,2017-09-01,Écart-type non-pondéré,0.007857279561353483
Inflation globale,2017-09-01,Écart-type non-pondéré,0.01096117550361514
Inflation sous-jacente,2017-09-01,Écart-type pondéré,0.005234255481952553
Inflation globale,2017-09-01,Écart-type pondéré,0.004900093766084116
Inflation sous-jacente,2017-08-01,Écart-type non-pondéré,0.008388588740225116
Inflation globale,2017-08-01,Écart-type non-pondéré,0.011205614194397567
Inflation sous-jacente,2017-08-01,Écart-type pondéré,0.005552837852180866
Inflation globale,2017-08-01,Écart-type pondéré,0.005090046397060072
Inflation sous-jacente,2017-07-01,Écart-type non-pondéré,0.007926471306225808
Inflation globale,2017-07-01,Écart-type non-pondéré,0.010748806543298803
Inflation sous-jacente,2017-07-01,Écart-type pondéré,0.005165285494320507
Inflation globale,2017-07-01,Écart-type pondéré,0.00494949648171635
Inflation sous-jacente,2017-06-01,Écart-type non-pondéré,0.007573325765995725
Inflation globale,2017-06-01,Écart-type non-pondéré,0.009411499125509903
Inflation sous-jacente,2017-06-01,Écart-type pondéré,0.005521670926533102
Inflation globale,2017-06-01,Écart-type pondéré,0.00477225132702882
Inflation sous-jacente,2017-05-01,Écart-type non-pondéré,0.006963060428167761
Inflation globale,2017-05-01,Écart-type non-pondéré,0.008515465806092868
Inflation sous-jacente,2017-05-01,Écart-type pondéré,0.004224225674149778
Inflation globale,2017-05-01,Écart-type pondéré,0.004647816228950764
Inflation sous-jacente,2017-04-01,Écart-type non-pondéré,0.006969104752594237
Inflation globale,2017-04-01,Écart-type non-pondéré,0.008656606847100264
Inflation sous-jacente,2017-04-01,Écart-type pondéré,0.0048552497608506445
Inflation globale,2017-04-01,Écart-type pondéré,0.00480248516787795
Inflation sous-jacente,2017-03-01,Écart-type non-pondéré,0.006206109044617587
Inflation globale,2017-03-01,Écart-type non-pondéré,0.00815959235307874
Inflation sous-jacente,2017-03-01,Écart-type pondéré,0.003532200596817253
Inflation globale,2017-03-01,Écart-type pondéré,0.0043086824482711705
Inflation sous-jacente,2017-02-01,Écart-type non-pondéré,0.005735163926441676
Inflation globale,2017-02-01,Écart-type non-pondéré,0.008829376803424016
Inflation sous-jacente,2017-02-01,Écart-type pondéré,0.004258199737847839
Inflation globale,2017-02-01,Écart-type pondéré,0.006084603782761306
Inflation sous-jacente,2017-01-01,Écart-type non-pondéré,0.005132712425424325
Inflation globale,2017-01-01,Écart-type non-pondéré,0.008482024336330642
Inflation sous-jacente,2017-01-01,Écart-type pondéré,0.0033725681211996495
Inflation globale,2017-01-01,Écart-type pondéré,0.006321253102541171
Inflation sous-jacente,2016-12-01,Écart-type non-pondéré,0.005476264573978373
Inflation globale,2016-12-01,Écart-type non-pondéré,0.007522597535706037
Inflation sous-jacente,2016-12-01,Écart-type pondéré,0.0041268861794260744
Inflation globale,2016-12-01,Écart-type pondéré,0.005314339006751327
Inflation sous-jacente,2016-11-01,Écart-type non-pondéré,0.005113449757360742
Inflation globale,2016-11-01,Écart-type non-pondéré,0.006366854961852293
Inflation sous-jacente,2016-11-01,Écart-type pondéré,0.003634614380934806
Inflation globale,2016-11-01,Écart-type pondéré,0.004133578774546989
Inflation sous-jacente,2016-10-01,Écart-type non-pondéré,0.006027131638638208
Inflation globale,2016-10-01,Écart-type non-pondéré,0.006750438582242755
Inflation sous-jacente,2016-10-01,Écart-type pondéré,0.003888172402689088
Inflation globale,2016-10-01,Écart-type pondéré,0.004603895777907427
Inflation sous-jacente,2016-09-01,Écart-type non-pondéré,0.00599473453167554
Inflation globale,2016-09-01,Écart-type non-pondéré,0.006697210731263231
Inflation sous-jacente,2016-09-01,Écart-type pondéré,0.0036465288443275085
Inflation globale,2016-09-01,Écart-type pondéré,0.0042740436489012035
Inflation sous-jacente,2016-08-01,Écart-type non-pondéré,0.007211832382674287
Inflation globale,2016-08-01,Écart-type non-pondéré,0.007649389380515078
Inflation sous-jacente,2016-08-01,Écart-type pondéré,0.0040032168751204635
Inflation globale,2016-08-01,Écart-type pondéré,0.004751354860606753
Inflation sous-jacente,2016-07-01,Écart-type non-pondéré,0.007486654793697917
Inflation globale,2016-07-01,Écart-type non-pondéré,0.007203069521135818
Inflation sous-jacente,2016-07-01,Écart-type pondéré,0.004672952556735142
Inflation globale,2016-07-01,Écart-type pondéré,0.005594439948577359
Inflation sous-jacente,2016-06-01,Écart-type non-pondéré,0.007715159376871375
Inflation globale,2016-06-01,Écart-type non-pondéré,0.008267087567100356
Inflation sous-jacente,2016-06-01,Écart-type pondéré,0.0039549817954830846
Inflation globale,2016-06-01,Écart-type pondéré,0.0053757713792833796
Inflation sous-jacente,2016-05-01,Écart-type non-pondéré,0.006432646995477138
Inflation globale,2016-05-01,Écart-type non-pondéré,0.00787801738350055
Inflation sous-jacente,2016-05-01,Écart-type pondéré,0.0037087583356552488
Inflation globale,2016-05-01,Écart-type pondéré,0.005292652585328929
Inflation sous-jacente,2016-04-01,Écart-type non-pondéré,0.005897367833908706
Inflation globale,2016-04-01,Écart-type non-pondéré,0.008014953130506161
Inflation sous-jacente,2016-04-01,Écart-type pondéré,0.003486701133334085
Inflation globale,2016-04-01,Écart-type pondéré,0.005333449151060404
Inflation sous-jacente,2016-03-01,Écart-type non-pondéré,0.006210983480051584
Inflation globale,2016-03-01,Écart-type non-pondéré,0.008718401591793616
Inflation sous-jacente,2016-03-01,Écart-type pondéré,0.003982308661841543
Inflation globale,2016-03-01,Écart-type pondéré,0.005409448461743605
Inflation sous-jacente,2016-02-01,Écart-type non-pondéré,0.007609550785551979
Inflation globale,2016-02-01,Écart-type non-pondéré,0.007684571008127089
Inflation sous-jacente,2016-02-01,Écart-type pondéré,0.003653108773032581
Inflation globale,2016-02-01,Écart-type pondéré,0.004640221386411958
Inflation sous-jacente,2016-01-01,Écart-type non-pondéré,0.006714281714924421
Inflation globale,2016-01-01,Écart-type non-pondéré,0.007003006872990909
Inflation sous-jacente,2016-01-01,Écart-type pondéré,0.004108057960655875
Inflation globale,2016-01-01,Écart-type pondéré,0.00460787882406398
Inflation sous-jacente,2015-12-01,Écart-type non-pondéré,0.006345118305893869
Inflation globale,2015-12-01,Écart-type non-pondéré,0.0060600069480592446
Inflation sous-jacente,2015-12-01,Écart-type pondéré,0.003899906706412183
Inflation globale,2015-12-01,Écart-type pondéré,0.0034800867081002302
Inflation sous-jacente,2015-11-01,Écart-type non-pondéré,0.007056911505750941
Inflation globale,2015-11-01,Écart-type non-pondéré,0.006762901899721979
Inflation sous-jacente,2015-11-01,Écart-type pondéré,0.003451734525471844
